Hospital_ID,District_ID,Instrument_ID,Annual_Projected_Revenue
Hospital 1014,District 44,Instrument 2,152586
Hospital 1014,District 44,Instrument 3,152586
Hospital 1014,District 50,Instrument 2,157859
Hospital 1014,District 50,Instrument 3,48312
Hospital 1014,District 50,Instrument 4,55080
Hospital 1014,District 50,Instrument 5,27846
Hospital 1016,District 13,Instrument 2,524616
Hospital 1016,District 13,Instrument 3,701104
Hospital 1016,District 13,Instrument 4,48000
Hospital 1016,District 13,Instrument 5,2376
Hospital 1016,District 41,Instrument 3,3300
Hospital 1017,District 20,Instrument 2,427
Hospital 1017,District 20,Instrument 3,137
Hospital 1018,District 39,Instrument 2,181
Hospital 1018,District 39,Instrument 4,181
Hospital 1019,District 34,Instrument 2,900
Hospital 1019,District 41,Instrument 2,900
Hospital 102,District 13,Instrument 5,67770
Hospital 102,District 15,Instrument 2,15336
Hospital 102,District 20,Instrument 2,8280
Hospital 102,District 28,Instrument 2,118170
Hospital 102,District 28,Instrument 3,30656
Hospital 102,District 32,Instrument 5,12000
Hospital 102,District 34,Instrument 2,4518
Hospital 102,District 34,Instrument 3,918
Hospital 102,District 34,Instrument 4,3216
Hospital 102,District 34,Instrument 5,540
Hospital 102,District 34,Instrument 7,600
Hospital 102,District 39,Instrument 2,160
Hospital 102,District 48,Instrument 2,10200
Hospital 1021,District 21,Instrument 7,5400
Hospital 1021,District 39,Instrument 2,505304
Hospital 1022,District 20,Instrument 2,23302
Hospital 1022,District 20,Instrument 3,2206
Hospital 1022,District 28,Instrument 2,98832
Hospital 1022,District 28,Instrument 3,18204
Hospital 1022,District 34,Instrument 2,19836
Hospital 1022,District 34,Instrument 3,13770
Hospital 1022,District 39,Instrument 2,26558
Hospital 1022,District 39,Instrument 7,721516
Hospital 1023,District 29,Instrument 2,159472
Hospital 1023,District 29,Instrument 3,159472
Hospital 1023,District 50,Instrument 2,84228
Hospital 1023,District 50,Instrument 3,19056
Hospital 1023,District 50,Instrument 4,175555
Hospital 1024,District 13,Instrument 2,145932
Hospital 1024,District 13,Instrument 3,6087
Hospital 1024,District 41,Instrument 2,153468
Hospital 1024,District 41,Instrument 3,199312
Hospital 1024,District 41,Instrument 5,16500
Hospital 1024,District 41,Instrument 8,9324
Hospital 1024,District 50,Instrument 2,125772
Hospital 1024,District 50,Instrument 3,34704
Hospital 1024,District 50,Instrument 7,2520
Hospital 1025,District 20,Instrument 2,356076
Hospital 1025,District 20,Instrument 3,175032
Hospital 1025,District 20,Instrument 7,155100
Hospital 1025,District 50,Instrument 3,9804
Hospital 1026,District 20,Instrument 2,72480
Hospital 1027,District 13,Instrument 2,1815
Hospital 1028,District 13,Instrument 3,5694
Hospital 1028,District 13,Instrument 4,6480
Hospital 1029,District 28,Instrument 5,23166
Hospital 1031,District 50,Instrument 5,12566
Hospital 1033,District 12,Instrument 2,13650
Hospital 1033,District 12,Instrument 3,12600
Hospital 1033,District 13,Instrument 2,63487
Hospital 1033,District 15,Instrument 2,3600
Hospital 1033,District 20,Instrument 2,5250
Hospital 1033,District 20,Instrument 3,19049
Hospital 1033,District 20,Instrument 7,20150
Hospital 1033,District 32,Instrument 2,5400
Hospital 1033,District 32,Instrument 3,5172
Hospital 1033,District 32,Instrument 5,3000
Hospital 1033,District 34,Instrument 3,360
Hospital 1033,District 41,Instrument 3,16179
Hospital 1033,District 50,Instrument 2,9142
Hospital 1033,District 50,Instrument 3,15480
Hospital 1034,District 13,Instrument 2,224706
Hospital 1034,District 13,Instrument 3,9906
Hospital 1034,District 19,Instrument 2,4032
Hospital 1034,District 20,Instrument 2,55923
Hospital 1034,District 20,Instrument 3,17393
Hospital 1034,District 41,Instrument 2,7944
Hospital 1034,District 41,Instrument 3,34122
Hospital 1034,District 50,Instrument 3,47981
Hospital 1035,District 13,Instrument 2,61404
Hospital 1035,District 13,Instrument 3,14004
Hospital 1035,District 17,Instrument 2,2580
Hospital 1035,District 17,Instrument 3,432
Hospital 1035,District 28,Instrument 2,36630
Hospital 1035,District 28,Instrument 3,7428
Hospital 1035,District 32,Instrument 2,7440
Hospital 1035,District 32,Instrument 3,1500
Hospital 1035,District 32,Instrument 5,1536
Hospital 1035,District 41,Instrument 2,12780
Hospital 1035,District 41,Instrument 3,12600
Hospital 1035,District 50,Instrument 2,109230
Hospital 1035,District 50,Instrument 3,19389
Hospital 1036,District 20,Instrument 2,804
Hospital 1036,District 20,Instrument 3,276
Hospital 1036,District 41,Instrument 2,1260
Hospital 1036,District 41,Instrument 3,918
Hospital 1037,District 10,Instrument 2,206239
Hospital 1037,District 10,Instrument 3,240
Hospital 1037,District 10,Instrument 4,120
Hospital 1037,District 13,Instrument 2,9000
Hospital 1037,District 14,Instrument 2,178560
Hospital 1037,District 15,Instrument 2,194442
Hospital 1037,District 15,Instrument 3,7080
Hospital 1037,District 15,Instrument 5,58200
Hospital 1037,District 15,Instrument 7,1218
Hospital 1037,District 17,Instrument 2,656371
Hospital 1037,District 17,Instrument 3,26471
Hospital 1037,District 17,Instrument 4,4860
Hospital 1037,District 19,Instrument 2,13500
Hospital 1037,District 20,Instrument 2,5223
Hospital 1037,District 20,Instrument 3,1379
Hospital 1037,District 20,Instrument 7,468
Hospital 1037,District 21,Instrument 2,26760
Hospital 1037,District 24,Instrument 2,3000
Hospital 1037,District 3,Instrument 2,101550
Hospital 1037,District 32,Instrument 5,10800
Hospital 1037,District 34,Instrument 2,89976
Hospital 1037,District 34,Instrument 3,70344
Hospital 1037,District 39,Instrument 2,179100
Hospital 1037,District 39,Instrument 4,120
Hospital 1037,District 4,Instrument 2,120450
Hospital 1037,District 44,Instrument 2,900000
Hospital 1037,District 44,Instrument 3,120
Hospital 1037,District 48,Instrument 3,2640
Hospital 1037,District 48,Instrument 7,1830
Hospital 1037,District 49,Instrument 2,171000
Hospital 1037,District 50,Instrument 2,87294
Hospital 1037,District 50,Instrument 3,37001
Hospital 1037,District 8,Instrument 2,257
Hospital 1038,District 39,Instrument 2,5078
Hospital 1038,District 39,Instrument 7,1240
Hospital 1038,District 50,Instrument 2,65748
Hospital 1038,District 50,Instrument 3,4824
Hospital 104,District 17,Instrument 2,26935
Hospital 104,District 18,Instrument 7,134246
Hospital 104,District 19,Instrument 5,332610
Hospital 104,District 20,Instrument 2,2880
Hospital 104,District 20,Instrument 3,2400
Hospital 104,District 50,Instrument 5,694442
Hospital 104,District 8,Instrument 2,1080
Hospital 1044,District 13,Instrument 4,49263
Hospital 1044,District 20,Instrument 2,17556
Hospital 1044,District 28,Instrument 2,35520
Hospital 1044,District 28,Instrument 4,2160
Hospital 1047,District 13,Instrument 5,7530
Hospital 1047,District 20,Instrument 2,4520
Hospital 1047,District 20,Instrument 3,2192
Hospital 1049,District 13,Instrument 2,157698
Hospital 1049,District 13,Instrument 3,24952
Hospital 1049,District 13,Instrument 4,360
Hospital 1049,District 13,Instrument 5,23994
Hospital 1049,District 20,Instrument 2,33102
Hospital 1049,District 20,Instrument 3,20334
Hospital 1049,District 28,Instrument 2,51002
Hospital 1049,District 4,Instrument 2,11562
Hospital 1049,District 41,Instrument 2,108926
Hospital 1049,District 41,Instrument 3,153102
Hospital 1049,District 41,Instrument 5,300
Hospital 105,District 13,Instrument 2,10272
Hospital 105,District 13,Instrument 5,180
Hospital 105,District 20,Instrument 2,3930
Hospital 105,District 20,Instrument 3,1077
Hospital 105,District 50,Instrument 2,2469
Hospital 105,District 50,Instrument 3,5752
Hospital 1050,District 13,Instrument 2,822
Hospital 1051,District 13,Instrument 2,73731
Hospital 1051,District 15,Instrument 2,30306
Hospital 1051,District 15,Instrument 3,840
Hospital 1051,District 15,Instrument 5,4500
Hospital 1051,District 15,Instrument 7,12000
Hospital 1051,District 17,Instrument 2,1958
Hospital 1051,District 17,Instrument 3,158
Hospital 1051,District 18,Instrument 7,9076
Hospital 1051,District 20,Instrument 2,91715
Hospital 1051,District 20,Instrument 3,19796
Hospital 1051,District 28,Instrument 2,447846
Hospital 1051,District 28,Instrument 3,243027
Hospital 1051,District 28,Instrument 4,20784
Hospital 1051,District 32,Instrument 5,3520
Hospital 1051,District 39,Instrument 2,2889
Hospital 1051,District 48,Instrument 7,13344
Hospital 1052,District 13,Instrument 2,27486
Hospital 1052,District 13,Instrument 3,1489
Hospital 1053,District 20,Instrument 3,817
Hospital 1054,District 20,Instrument 2,402
Hospital 1054,District 34,Instrument 3,396
Hospital 1054,District 34,Instrument 7,19140
Hospital 1056,District 32,Instrument 2,4800
Hospital 1056,District 32,Instrument 3,1973
Hospital 1056,District 41,Instrument 3,9216
Hospital 1057,District 10,Instrument 2,69668
Hospital 1057,District 13,Instrument 2,265914
Hospital 1057,District 13,Instrument 3,23429
Hospital 1057,District 17,Instrument 2,250251
Hospital 1057,District 18,Instrument 2,627773
Hospital 1057,District 2,Instrument 2,22848
Hospital 1057,District 2,Instrument 3,1944
Hospital 1057,District 20,Instrument 2,119802
Hospital 1057,District 20,Instrument 3,22200
Hospital 1057,District 21,Instrument 2,55770
Hospital 1057,District 21,Instrument 7,25626
Hospital 1057,District 25,Instrument 2,11028
Hospital 1057,District 25,Instrument 3,11028
Hospital 1057,District 28,Instrument 2,6519
Hospital 1057,District 28,Instrument 3,9630
Hospital 1057,District 34,Instrument 2,960
Hospital 1057,District 39,Instrument 7,7753
Hospital 1057,District 41,Instrument 2,40716
Hospital 1057,District 50,Instrument 2,451314
Hospital 1057,No District Available,Instrument 18,1460000
Hospital 1058,District 13,Instrument 2,238
Hospital 1058,District 13,Instrument 3,120
Hospital 1058,District 41,Instrument 2,360
Hospital 1058,District 50,Instrument 2,10153
Hospital 1058,District 50,Instrument 3,7043
Hospital 1058,District 50,Instrument 4,437921
Hospital 1059,District 34,Instrument 2,55014
Hospital 1059,District 34,Instrument 3,5148
Hospital 1059,District 34,Instrument 4,144
Hospital 1059,District 34,Instrument 5,4200
Hospital 1059,District 50,Instrument 2,4039
Hospital 106,District 32,Instrument 2,12960
Hospital 106,District 32,Instrument 5,2520
Hospital 106,District 41,Instrument 2,234000
Hospital 106,District 41,Instrument 3,52950
Hospital 1060,District 13,Instrument 2,180108
Hospital 1060,District 13,Instrument 3,84772
Hospital 1060,District 13,Instrument 4,3726
Hospital 1060,District 20,Instrument 3,35297
Hospital 1063,District 13,Instrument 3,11256
Hospital 1063,District 13,Instrument 4,6480
Hospital 1063,District 20,Instrument 2,14802
Hospital 1063,District 20,Instrument 3,13920
Hospital 1063,District 20,Instrument 7,13700
Hospital 1063,District 32,Instrument 2,3240
Hospital 1063,District 32,Instrument 3,3936
Hospital 1063,District 32,Instrument 5,5280
Hospital 1063,District 41,Instrument 2,11700
Hospital 1063,District 41,Instrument 3,4332
Hospital 1063,District 41,Instrument 5,8676
Hospital 1066,District 13,Instrument 2,51816
Hospital 1066,District 20,Instrument 2,3078
Hospital 1068,District 10,Instrument 2,206801
Hospital 1068,District 10,Instrument 3,161086
Hospital 1068,District 10,Instrument 7,2777
Hospital 1068,District 13,Instrument 2,26820
Hospital 1068,District 13,Instrument 3,254628
Hospital 1068,District 13,Instrument 4,84600
Hospital 1068,District 13,Instrument 5,36960
Hospital 1068,District 15,Instrument 2,253254
Hospital 1068,District 15,Instrument 3,204886
Hospital 1068,District 15,Instrument 5,9000
Hospital 1068,District 18,Instrument 5,4881
Hospital 1068,District 19,Instrument 2,60000
Hospital 1068,District 20,Instrument 2,693316
Hospital 1068,District 20,Instrument 3,864152
Hospital 1068,District 28,Instrument 2,107400
Hospital 1068,District 28,Instrument 3,31800
Hospital 1068,District 28,Instrument 4,8100
Hospital 1068,District 28,Instrument 5,9000
Hospital 1068,District 32,Instrument 2,181277
Hospital 1068,District 32,Instrument 3,103260
Hospital 1068,District 34,Instrument 2,64977
Hospital 1068,District 34,Instrument 3,35367
Hospital 1068,District 34,Instrument 4,1656
Hospital 1068,District 34,Instrument 5,365
Hospital 1068,District 34,Instrument 7,390
Hospital 1068,District 39,Instrument 2,725
Hospital 1068,District 39,Instrument 4,22913
Hospital 1068,District 41,Instrument 2,196527
Hospital 1068,District 41,Instrument 3,196923
Hospital 1068,District 44,Instrument 2,3834000
Hospital 1068,District 50,Instrument 3,1176
Hospital 1068,District 7,Instrument 2,58560
Hospital 1068,District 8,Instrument 2,73080
Hospital 1069,District 10,Instrument 7,599
Hospital 1069,District 12,Instrument 2,75096
Hospital 1069,District 12,Instrument 3,39000
Hospital 1069,District 13,Instrument 2,3960
Hospital 1069,District 13,Instrument 5,30120
Hospital 1069,District 15,Instrument 2,9882
Hospital 1069,District 15,Instrument 3,3072
Hospital 1069,District 17,Instrument 2,15408
Hospital 1069,District 17,Instrument 3,2231
Hospital 1069,District 18,Instrument 2,1190
Hospital 1069,District 18,Instrument 3,4318
Hospital 1069,District 20,Instrument 2,144342
Hospital 1069,District 20,Instrument 3,48966
Hospital 1069,District 28,Instrument 2,28102
Hospital 1069,District 28,Instrument 3,31536
Hospital 1069,District 3,Instrument 2,3120
Hospital 1069,District 30,Instrument 2,11520
Hospital 1069,District 32,Instrument 2,10632
Hospital 1069,District 32,Instrument 3,3315
Hospital 1069,District 32,Instrument 4,1176
Hospital 1069,District 32,Instrument 5,1200
Hospital 1069,District 34,Instrument 2,19614
Hospital 1069,District 34,Instrument 3,8376
Hospital 1069,District 34,Instrument 4,1470
Hospital 1069,District 39,Instrument 2,14304
Hospital 1069,District 39,Instrument 4,6782
Hospital 1069,District 4,Instrument 2,25344
Hospital 1069,District 41,Instrument 2,40140
Hospital 1069,District 41,Instrument 3,43854
Hospital 1069,District 41,Instrument 5,19371
Hospital 1069,District 44,Instrument 2,43152
Hospital 1069,District 44,Instrument 3,2131
Hospital 1069,District 5,Instrument 2,6300
Hospital 1069,District 7,Instrument 2,4662
Hospital 1069,District 8,Instrument 2,20409
Hospital 1069,District 9,Instrument 2,1380312
Hospital 107,District 20,Instrument 2,1607
Hospital 107,District 20,Instrument 3,276
Hospital 1071,District 20,Instrument 2,470
Hospital 1071,District 20,Instrument 3,6359
Hospital 1072,District 20,Instrument 3,1500
Hospital 1073,District 12,Instrument 2,3798
Hospital 1073,District 12,Instrument 3,10098
Hospital 1073,District 13,Instrument 2,13020
Hospital 1073,District 13,Instrument 3,1500
Hospital 1073,District 50,Instrument 2,114000
Hospital 1073,No District Available,Instrument 7,32070
Hospital 1074,District 17,Instrument 2,32205
Hospital 1074,District 20,Instrument 3,10147
Hospital 1076,District 41,Instrument 2,113485
Hospital 1076,District 41,Instrument 3,20916
Hospital 1076,District 41,Instrument 5,4160
Hospital 1076,District 8,Instrument 2,52048
Hospital 1078,District 50,Instrument 2,9011
Hospital 1081,District 20,Instrument 8,4622900
Hospital 1084,District 34,Instrument 2,558
Hospital 1084,District 34,Instrument 3,120
Hospital 1084,District 41,Instrument 2,14850
Hospital 1084,District 41,Instrument 3,3948
Hospital 1085,District 13,Instrument 2,15120
Hospital 1085,District 13,Instrument 3,7392
Hospital 1085,District 32,Instrument 2,2778
Hospital 1085,District 32,Instrument 3,1970
Hospital 1085,District 50,Instrument 2,13192
Hospital 1085,District 50,Instrument 3,2993
Hospital 1087,District 39,Instrument 2,107105
Hospital 1088,District 41,Instrument 2,13968
Hospital 1088,District 41,Instrument 3,23106
Hospital 1090,District 13,Instrument 2,163101
Hospital 1090,District 15,Instrument 2,8064
Hospital 1090,District 17,Instrument 2,15812
Hospital 1090,District 20,Instrument 2,60634
Hospital 1090,District 20,Instrument 3,41058
Hospital 1090,District 4,Instrument 2,30192
Hospital 1090,District 41,Instrument 2,70620
Hospital 1090,District 41,Instrument 3,720
Hospital 1090,District 8,Instrument 2,44148
Hospital 1091,District 13,Instrument 2,27438
Hospital 1091,District 13,Instrument 5,504
Hospital 1091,District 17,Instrument 2,40708
Hospital 1091,District 17,Instrument 3,1149
Hospital 1091,District 18,Instrument 5,2648
Hospital 1091,District 18,Instrument 7,2446
Hospital 1091,District 28,Instrument 2,131065
Hospital 1091,District 28,Instrument 3,19560
Hospital 1091,District 28,Instrument 5,54742
Hospital 1091,District 39,Instrument 7,1920
Hospital 1091,District 41,Instrument 2,15300
Hospital 1091,District 41,Instrument 3,15300
Hospital 1091,District 50,Instrument 2,39257
Hospital 1091,District 50,Instrument 5,7258
Hospital 1092,District 3,Instrument 2,149253
Hospital 1092,District 34,Instrument 2,908979
Hospital 1092,District 34,Instrument 3,358012
Hospital 1092,District 34,Instrument 4,102750
Hospital 1092,District 34,Instrument 5,2520
Hospital 1092,District 34,Instrument 7,2643111
Hospital 1092,District 34,Instrument 8,180
Hospital 1092,District 5,Instrument 2,27480
Hospital 1093,District 13,Instrument 3,7866
Hospital 1093,District 13,Instrument 5,6282
Hospital 1093,District 20,Instrument 2,15510
Hospital 1093,District 20,Instrument 3,180
Hospital 1093,District 41,Instrument 2,900
Hospital 1093,District 41,Instrument 3,4428
Hospital 1093,District 41,Instrument 5,3300
Hospital 1094,District 20,Instrument 2,44206
Hospital 1094,District 20,Instrument 3,17615
Hospital 1094,District 20,Instrument 7,702
Hospital 1095,District 13,Instrument 2,49560
Hospital 1095,District 13,Instrument 3,170352
Hospital 1095,District 13,Instrument 5,3594
Hospital 1095,District 15,Instrument 2,10236
Hospital 1095,District 18,Instrument 7,21037
Hospital 1095,District 19,Instrument 2,30000
Hospital 1095,District 2,Instrument 2,362508
Hospital 1095,District 2,Instrument 3,1157
Hospital 1095,District 20,Instrument 2,30076
Hospital 1095,District 20,Instrument 3,1109650
Hospital 1095,District 34,Instrument 2,163215
Hospital 1095,District 34,Instrument 3,419251
Hospital 1095,District 34,Instrument 4,30074
Hospital 1095,District 35,Instrument 2,116640
Hospital 1095,District 39,Instrument 2,12976
Hospital 1095,District 39,Instrument 4,10539
Hospital 1095,District 41,Instrument 2,184940
Hospital 1095,District 41,Instrument 3,1264420
Hospital 1095,District 8,Instrument 2,18627
Hospital 1096,District 13,Instrument 2,13290
Hospital 1096,District 13,Instrument 5,12228
Hospital 1096,District 29,Instrument 2,82653
Hospital 1096,District 29,Instrument 3,18367
Hospital 1096,District 29,Instrument 4,13776
Hospital 1096,District 29,Instrument 5,44082
Hospital 11,District 20,Instrument 2,67320
Hospital 11,District 20,Instrument 3,19860
Hospital 11,District 28,Instrument 2,81840
Hospital 11,District 28,Instrument 3,4800
Hospital 110,District 13,Instrument 2,8280
Hospital 110,District 13,Instrument 5,48828
Hospital 1100,District 13,Instrument 2,1255
Hospital 1100,District 13,Instrument 5,7758
Hospital 1100,District 20,Instrument 2,61142
Hospital 1100,District 20,Instrument 3,8758
Hospital 1100,District 20,Instrument 7,468
Hospital 1100,District 28,Instrument 2,20305
Hospital 1100,District 32,Instrument 2,12968
Hospital 1100,District 32,Instrument 5,4085
Hospital 1100,District 34,Instrument 2,5892
Hospital 1100,District 34,Instrument 3,3543
Hospital 1100,District 4,Instrument 2,29250
Hospital 1101,District 13,Instrument 2,5940
Hospital 1101,District 13,Instrument 3,3234
Hospital 1101,District 20,Instrument 2,4888
Hospital 1101,District 20,Instrument 3,15373
Hospital 1102,District 13,Instrument 2,290654
Hospital 1102,District 13,Instrument 3,273451
Hospital 1102,District 13,Instrument 5,33228
Hospital 1102,District 13,Instrument 8,6539
Hospital 1102,District 20,Instrument 2,6704
Hospital 1102,District 20,Instrument 3,37765
Hospital 1102,District 34,Instrument 2,2520
Hospital 1102,District 34,Instrument 3,9348
Hospital 1102,District 50,Instrument 2,3253
Hospital 1102,District 50,Instrument 3,6414
Hospital 1102,District 50,Instrument 5,64260
Hospital 1104,District 13,Instrument 3,12241
Hospital 1104,District 20,Instrument 2,17640
Hospital 1104,District 20,Instrument 3,900
Hospital 1104,District 34,Instrument 2,384
Hospital 1104,District 34,Instrument 3,108
Hospital 1104,District 34,Instrument 5,150
Hospital 1104,District 50,Instrument 3,19653
Hospital 1105,District 12,Instrument 2,63738
Hospital 1105,District 12,Instrument 3,9274
Hospital 1105,District 13,Instrument 2,1101
Hospital 1105,District 28,Instrument 2,14328
Hospital 1105,District 28,Instrument 3,2082
Hospital 1105,District 28,Instrument 4,1620
Hospital 1105,District 34,Instrument 2,4500
Hospital 1105,District 34,Instrument 3,6624
Hospital 1105,District 34,Instrument 7,1620
Hospital 1105,District 41,Instrument 2,6000
Hospital 1105,District 41,Instrument 3,240
Hospital 1106,District 18,Instrument 2,3056
Hospital 1106,District 20,Instrument 2,24444
Hospital 1106,District 20,Instrument 3,5760
Hospital 1106,District 20,Instrument 7,2325
Hospital 1106,District 41,Instrument 2,1560
Hospital 1106,District 41,Instrument 3,1380
Hospital 1106,District 41,Instrument 5,18480
Hospital 1108,District 13,Instrument 2,15312
Hospital 1108,District 13,Instrument 5,9363
Hospital 1108,District 20,Instrument 2,14692
Hospital 1108,District 20,Instrument 3,6036
Hospital 1108,District 41,Instrument 2,6000
Hospital 1108,District 41,Instrument 3,3120
Hospital 1110,District 17,Instrument 2,24919
Hospital 1110,District 20,Instrument 3,552
Hospital 1110,District 34,Instrument 2,4296
Hospital 1110,District 34,Instrument 3,2658
Hospital 1110,District 34,Instrument 4,144
Hospital 1110,District 4,Instrument 2,30240
Hospital 1110,District 41,Instrument 2,2580
Hospital 1110,District 41,Instrument 3,4395
Hospital 1110,District 44,Instrument 2,174960
Hospital 1110,District 50,Instrument 2,5076
Hospital 1110,District 8,Instrument 2,28387
Hospital 1111,District 13,Instrument 2,586235
Hospital 1111,District 13,Instrument 3,379782
Hospital 1111,District 13,Instrument 4,252192
Hospital 1111,District 13,Instrument 5,66240
Hospital 1111,District 13,Instrument 8,1268
Hospital 1111,District 17,Instrument 2,13426
Hospital 1111,District 17,Instrument 4,420
Hospital 1111,District 20,Instrument 2,5304
Hospital 1111,District 20,Instrument 3,16368
Hospital 1111,District 28,Instrument 3,2520
Hospital 1111,District 28,Instrument 4,40080
Hospital 1111,District 28,Instrument 5,30060
Hospital 1111,District 32,Instrument 5,120
Hospital 1111,District 34,Instrument 2,420
Hospital 1111,District 34,Instrument 3,240
Hospital 1111,District 41,Instrument 2,18036
Hospital 1111,District 41,Instrument 3,9612
Hospital 1111,District 41,Instrument 5,7560
Hospital 1111,District 50,Instrument 2,27540
Hospital 1111,District 50,Instrument 5,90000
Hospital 1111,District 50,Instrument 7,5337
Hospital 1111,District 8,Instrument 2,6432
Hospital 1111,No District Available,Instrument 4,107568
Hospital 1113,District 13,Instrument 3,366
Hospital 1113,District 13,Instrument 5,10430
Hospital 1113,District 20,Instrument 2,42405
Hospital 1113,District 20,Instrument 3,35466
Hospital 1113,District 20,Instrument 7,3276
