Hospital_ID,District_ID,Hospital_employees
Hospital 1005,District 19,87
Hospital 1005,District 19,87
Hospital 1005,District 23,61
Hospital 1005,District 28,1
Hospital 1005,District 34,206
Hospital 1005,District 5,219
Hospital 1005,District 53,1916
Hospital 1005,District 6,1052
Hospital 1005,District 8,10
Hospital 1006,District 10,750
Hospital 1006,District 10,1868
Hospital 1006,District 10,1868
Hospital 1006,District 12,1738
Hospital 1006,District 13,1229
Hospital 1006,District 14,2
Hospital 1006,District 15,295
Hospital 1006,District 17,446
Hospital 1006,District 18,371
Hospital 1006,District 19,70
Hospital 1006,District 19,700
Hospital 1006,District 19,700
Hospital 1006,District 2,1724
Hospital 1006,District 20,416
Hospital 1006,District 23,54
Hospital 1006,District 25,62
Hospital 1006,District 25,18
Hospital 1006,District 28,35
Hospital 1006,District 28,5
Hospital 1006,District 3,243
Hospital 1006,District 30,285
Hospital 1006,District 34,89
Hospital 1006,District 35,2
Hospital 1006,District 36,890
Hospital 1006,District 37,12
Hospital 1006,District 37,23
Hospital 1006,District 38,9
Hospital 1006,District 39,43
Hospital 1006,District 39,829
Hospital 1006,District 4,249
Hospital 1006,District 41,28
Hospital 1006,District 43,150
Hospital 1006,District 44,17071
Hospital 1006,District 48,283
Hospital 1006,District 49,721
Hospital 1006,District 5,213
Hospital 1006,District 53,8595
Hospital 1006,District 6,4540
Hospital 1006,District 8,464
Hospital 1006,District 9,91
Hospital 1007,District 12,164
Hospital 1007,District 13,619
Hospital 1007,District 15,12
Hospital 1007,District 17,161
Hospital 1007,District 20,260
Hospital 1007,District 23,125
Hospital 1007,District 25,111
Hospital 1007,District 28,105
Hospital 1007,District 3,924
Hospital 1007,District 30,19
Hospital 1007,District 34,13
Hospital 1007,District 35,61
Hospital 1007,District 36,22
Hospital 1007,District 37,3
Hospital 1007,District 4,59
Hospital 1007,District 41,86
Hospital 1007,District 43,65
Hospital 1007,District 44,3
Hospital 1007,District 48,284
Hospital 1007,District 5,77
Hospital 1007,District 53,208
Hospital 1007,District 8,240
Hospital 1008,District 12,270
Hospital 1008,District 13,17
Hospital 1008,District 16,1
Hospital 1008,District 17,132
Hospital 1008,District 18,45
Hospital 1008,District 19,2
Hospital 1008,District 19,2
Hospital 1008,District 20,98
Hospital 1008,District 23,1
Hospital 1008,District 25,25
Hospital 1008,District 28,287
Hospital 1008,District 29,2
Hospital 1008,District 30,1
Hospital 1008,District 31,75
Hospital 1008,District 32,3
Hospital 1008,District 35,2
Hospital 1008,District 40,58
Hospital 1008,District 40,58
Hospital 1008,District 41,82
Hospital 1008,District 43,1
Hospital 1008,District 44,23
Hospital 1008,District 45,1
Hospital 1008,District 45,1
Hospital 1008,District 46,22
Hospital 1008,District 48,21
Hospital 1008,District 5,4
Hospital 1008,District 53,6674
Hospital 1008,District 6,145
Hospital 1008,District 9,7
Hospital 1009,District 12,21
Hospital 1009,District 13,108
Hospital 1009,District 16,1
Hospital 1009,District 18,13
Hospital 1009,District 19,61
Hospital 1009,District 19,61
Hospital 1009,District 2,11
Hospital 1009,District 23,50
Hospital 1009,District 28,100
Hospital 1009,District 35,4
Hospital 1009,District 37,1
Hospital 1009,District 40,17
Hospital 1009,District 40,17
Hospital 1009,District 41,6
Hospital 1009,District 43,2
Hospital 1009,District 44,22
Hospital 1009,District 53,4466
Hospital 1009,District 6,82
Hospital 101,District 10,500
Hospital 101,District 12,34
Hospital 101,District 13,375
Hospital 101,District 20,11
Hospital 101,District 30,3
Hospital 101,District 32,8
Hospital 101,District 35,2
Hospital 101,District 41,554
Hospital 101,District 43,308
Hospital 101,District 44,130
Hospital 101,District 48,144
Hospital 101,District 49,2
Hospital 101,District 53,155
Hospital 101,District 8,23
Hospital 1010,District 12,179
Hospital 1010,District 13,67
Hospital 1010,District 16,7
Hospital 1010,District 17,249
Hospital 1010,District 18,76
Hospital 1010,District 19,30
Hospital 1010,District 19,30
Hospital 1010,District 2,551
Hospital 1010,District 20,46
Hospital 1010,District 23,6
Hospital 1010,District 26,1
Hospital 1010,District 28,9
Hospital 1010,District 30,41
Hospital 1010,District 35,5
Hospital 1010,District 37,123
Hospital 1010,District 39,9
Hospital 1010,District 40,60
Hospital 1010,District 40,60
Hospital 1010,District 41,128
Hospital 1010,District 43,6
Hospital 1010,District 44,7878
Hospital 1010,District 45,19
Hospital 1010,District 45,19
Hospital 1010,District 48,1
Hospital 1010,District 53,22841
Hospital 1010,District 53,9
Hospital 1010,District 6,95
Hospital 1010,District 8,9
Hospital 1011,District 17,23
Hospital 1011,District 19,55
Hospital 1011,District 20,3
Hospital 1011,District 27,78
Hospital 1011,District 28,2
Hospital 1011,District 32,4524
Hospital 1011,District 34,1
Hospital 1011,District 39,3
Hospital 1011,District 41,18
Hospital 1011,District 53,5
Hospital 1011,District 8,2
Hospital 1013,District 13,40
Hospital 1013,District 28,3
Hospital 1013,District 32,1
Hospital 1013,District 35,2
Hospital 1013,District 53,4
Hospital 1014,District 12,457
Hospital 1014,District 16,84
Hospital 1014,District 18,225
Hospital 1014,District 19,31
Hospital 1014,District 19,31
Hospital 1014,District 25,117
Hospital 1014,District 28,36
Hospital 1014,District 29,40
Hospital 1014,District 30,70
Hospital 1014,District 31,46
Hospital 1014,District 35,4
Hospital 1014,District 37,20
Hospital 1014,District 39,43
Hospital 1014,District 4,25
Hospital 1014,District 40,345
Hospital 1014,District 40,345
Hospital 1014,District 44,114
Hospital 1014,District 45,12
Hospital 1014,District 45,12
Hospital 1014,District 48,1205
Hospital 1014,District 49,49
Hospital 1014,District 5,266
Hospital 1014,District 53,11543
Hospital 1014,District 6,4072
Hospital 1014,District 8,91
Hospital 1015,District 13,6135
Hospital 1015,District 16,49
Hospital 1015,District 17,14
Hospital 1015,District 3,1204
Hospital 1015,District 38,732
Hospital 1015,District 44,125
Hospital 1016,District 12,7
Hospital 1016,District 13,10476
Hospital 1016,District 14,9
Hospital 1016,District 15,94
Hospital 1016,District 16,78
Hospital 1016,District 17,96
Hospital 1016,District 18,59
Hospital 1016,District 19,8
Hospital 1016,District 19,8
Hospital 1016,District 2,181
Hospital 1016,District 20,310
Hospital 1016,District 23,123
Hospital 1016,District 25,2
Hospital 1016,District 26,23
Hospital 1016,District 28,924
Hospital 1016,District 29,9
Hospital 1016,District 3,508
Hospital 1016,District 33,9
Hospital 1016,District 34,5
Hospital 1016,District 35,78
Hospital 1016,District 37,118
Hospital 1016,District 38,5
Hospital 1016,District 39,11
Hospital 1016,District 4,262
Hospital 1016,District 40,12
Hospital 1016,District 40,12
Hospital 1016,District 41,1048
Hospital 1016,District 44,202
Hospital 1016,District 45,5
Hospital 1016,District 45,5
Hospital 1016,District 48,415
Hospital 1016,District 49,168
Hospital 1016,District 53,3841
Hospital 1016,District 6,251
Hospital 1016,District 7,4
Hospital 1016,District 8,23
Hospital 1017,District 12,21
Hospital 1017,District 13,34
Hospital 1017,District 16,80
Hospital 1017,District 17,2
Hospital 1017,District 20,13
Hospital 1017,District 25,2278
Hospital 1017,District 28,41
Hospital 1017,District 31,464
Hospital 1017,District 37,198
Hospital 1017,District 40,17
Hospital 1017,District 41,2
Hospital 1017,District 44,14
Hospital 1017,District 45,196
Hospital 1017,District 46,1636
Hospital 1017,District 53,371
Hospital 1017,District 6,18
Hospital 1017,District 9,2
Hospital 1018,District 16,146
Hospital 1018,District 2,2152
Hospital 1018,District 33,88
Hospital 1018,District 37,16
Hospital 1018,District 39,435
Hospital 1018,District 53,4
Hospital 1019,District 12,263
Hospital 1019,District 13,11
Hospital 1019,District 23,1
Hospital 1019,District 4,1
Hospital 1019,District 41,24
Hospital 1019,District 53,13126
Hospital 1019,District 9,31
Hospital 102,District 11,113
Hospital 102,District 12,486
Hospital 102,District 13,439
Hospital 102,District 15,6
Hospital 102,District 16,5
Hospital 102,District 16,1572
Hospital 102,District 17,62
Hospital 102,District 18,1536
Hospital 102,District 19,96
Hospital 102,District 19,96
Hospital 102,District 19,67
Hospital 102,District 2,543
Hospital 102,District 20,859
Hospital 102,District 21,88
Hospital 102,District 21,1
Hospital 102,District 23,23
Hospital 102,District 23,1
Hospital 102,District 24,25
Hospital 102,District 25,22
Hospital 102,District 25,2
Hospital 102,District 26,10
Hospital 102,District 28,8
Hospital 102,District 28,306
Hospital 102,District 3,93
Hospital 102,District 30,79
Hospital 102,District 32,49
Hospital 102,District 35,2
Hospital 102,District 37,20
Hospital 102,District 37,34
Hospital 102,District 39,3
Hospital 102,District 4,181
Hospital 102,District 40,47
Hospital 102,District 40,47
Hospital 102,District 40,1
Hospital 102,District 41,493
Hospital 102,District 43,12
Hospital 102,District 44,375
Hospital 102,District 44,2
Hospital 102,District 45,6
Hospital 102,District 45,6
Hospital 102,District 45,10
Hospital 102,District 46,89
Hospital 102,District 48,27
Hospital 102,District 5,3
Hospital 102,District 53,24442
Hospital 102,District 6,725
Hospital 102,District 8,29
Hospital 1020,District 53,6239
Hospital 1020,District 6,14
Hospital 1021,District 39,24
Hospital 1022,District 12,848
Hospital 1023,District 16,199
Hospital 1023,District 18,82
Hospital 1023,District 19,73
Hospital 1023,District 2,13336
Hospital 1023,District 29,1788
Hospital 1023,District 37,107
Hospital 1023,District 53,887
Hospital 1024,District 13,366
Hospital 1024,District 28,1
Hospital 1024,District 41,2661
Hospital 1024,District 53,11346
Hospital 1024,District 6,51
Hospital 1024,District 8,1
Hospital 1025,District 19,21
Hospital 1025,District 19,21
Hospital 1025,District 23,3
Hospital 1025,District 26,1
Hospital 1025,District 28,2
Hospital 1025,District 53,14040
Hospital 1026,District 10,10
Hospital 1026,District 13,3
Hospital 1026,District 20,210
Hospital 1026,District 26,1
Hospital 1026,District 28,116
Hospital 1026,District 41,32
Hospital 1026,District 43,23
Hospital 1026,District 44,785
Hospital 1026,District 53,1
Hospital 1027,District 12,87
Hospital 1027,District 13,20
Hospital 1027,District 18,173
Hospital 1027,District 19,2
Hospital 1027,District 19,2
Hospital 1027,District 2,4
Hospital 1027,District 25,93
Hospital 1027,District 28,5
Hospital 1027,District 29,8
Hospital 1027,District 30,2351
Hospital 1027,District 32,1
Hospital 1027,District 35,122
Hospital 1027,District 37,54
Hospital 1027,District 44,26
Hospital 1027,District 53,23151
Hospital 1027,District 6,1394
Hospital 1027,District 9,353
Hospital 1028,District 28,21
Hospital 1028,District 4,9
Hospital 1029,District 28,391
Hospital 103,District 12,1498
Hospital 103,District 13,239
Hospital 103,District 20,15
Hospital 103,District 23,1
Hospital 103,District 28,1
Hospital 103,District 30,254
Hospital 103,District 32,175
Hospital 103,District 41,297
Hospital 103,District 43,5522
Hospital 103,District 44,238
Hospital 103,District 9,11
Hospital 1030,District 13,2
Hospital 1030,District 35,1
Hospital 1030,District 39,18
Hospital 1030,District 53,3395
Hospital 1030,District 6,74
Hospital 1031,District 53,366
Hospital 1032,District 19,57
Hospital 1032,District 19,57
Hospital 1032,District 28,606
Hospital 1032,District 4,20
Hospital 1032,District 53,7197
Hospital 1032,District 6,88
Hospital 1033,District 12,61
Hospital 1033,District 13,34
Hospital 1033,District 17,16
Hospital 1033,District 19,2
Hospital 1033,District 19,2
Hospital 1033,District 2,23
Hospital 1033,District 20,30
Hospital 1033,District 30,26
Hospital 1033,District 37,3
Hospital 1033,District 39,9
Hospital 1033,District 4,9
Hospital 1033,District 41,22
Hospital 1033,District 43,1
Hospital 1033,District 45,9
Hospital 1033,District 45,9
Hospital 1033,District 48,25
Hospital 1033,District 53,3254
Hospital 1033,District 6,58
Hospital 1033,District 8,108
Hospital 1034,District 10,43
Hospital 1034,District 10,43
Hospital 1034,District 12,245
Hospital 1034,District 13,40
Hospital 1034,District 16,40
Hospital 1034,District 2,4
Hospital 1034,District 2,4
Hospital 1034,District 20,14
Hospital 1034,District 20,217
Hospital 1034,District 21,31
Hospital 1034,District 28,242
Hospital 1034,District 29,38
Hospital 1034,District 3,10
Hospital 1034,District 30,8
Hospital 1034,District 31,306
Hospital 1034,District 32,1
Hospital 1034,District 37,401
Hospital 1034,District 41,319
Hospital 1034,District 43,1
Hospital 1034,District 44,45
Hospital 1034,District 45,51
Hospital 1034,District 45,51
Hospital 1034,District 48,233
Hospital 1034,District 53,218
Hospital 1034,District 53,10559
Hospital 1034,District 6,870
Hospital 1034,District 8,15
Hospital 1034,District 9,31
Hospital 1035,District 12,195
Hospital 1035,District 13,115
Hospital 1035,District 15,123
Hospital 1035,District 16,96
Hospital 1035,District 17,14
Hospital 1035,District 18,261
Hospital 1035,District 19,5
Hospital 1035,District 2,133
Hospital 1035,District 20,36
Hospital 1035,District 25,487
Hospital 1035,District 28,159
Hospital 1035,District 29,120
Hospital 1035,District 3,100
Hospital 1035,District 30,4
Hospital 1035,District 31,124
Hospital 1035,District 32,9
Hospital 1035,District 35,15
Hospital 1035,District 37,14
Hospital 1035,District 39,2
Hospital 1035,District 40,18
Hospital 1035,District 41,11
Hospital 1035,District 43,1
Hospital 1035,District 44,62
Hospital 1035,District 45,1369
Hospital 1035,District 46,1290
Hospital 1035,District 48,9
Hospital 1035,District 49,358
Hospital 1035,District 53,2148
Hospital 1035,District 6,21
Hospital 1035,District 8,3
Hospital 1035,District 9,11
Hospital 1036,District 13,14
Hospital 1036,District 16,217
Hospital 1036,District 18,152
Hospital 1036,District 20,8
Hospital 1036,District 25,139
Hospital 1036,District 28,50
Hospital 1036,District 3,3
Hospital 1036,District 30,2
Hospital 1036,District 31,27
Hospital 1036,District 35,8
Hospital 1036,District 37,373
Hospital 1036,District 4,4
Hospital 1036,District 43,3
Hospital 1036,District 45,8
Hospital 1036,District 48,11
Hospital 1036,District 53,3659
Hospital 1036,District 6,22
Hospital 1036,District 9,1
Hospital 1037,District 10,1110
Hospital 1037,District 11,74
Hospital 1037,District 11,74
Hospital 1037,District 12,5940
Hospital 1037,District 13,3171
Hospital 1037,District 14,450
Hospital 1037,District 15,680
Hospital 1037,District 16,433
Hospital 1037,District 17,509
Hospital 1037,District 18,2
Hospital 1037,District 19,354
Hospital 1037,District 2,1296
Hospital 1037,District 2,1326
Hospital 1037,District 20,2936
Hospital 1037,District 21,39
Hospital 1037,District 23,26
Hospital 1037,District 24,7
Hospital 1037,District 25,2030
Hospital 1037,District 26,2
Hospital 1037,District 27,139
Hospital 1037,District 28,417
Hospital 1037,District 29,147
Hospital 1037,District 3,268
Hospital 1037,District 30,178
Hospital 1037,District 31,998
Hospital 1037,District 32,881
Hospital 1037,District 33,150
Hospital 1037,District 34,233
Hospital 1037,District 35,1440
Hospital 1037,District 36,137
Hospital 1037,District 37,108
Hospital 1037,District 38,2
Hospital 1037,District 39,10
Hospital 1037,District 4,304
Hospital 1037,District 40,77
Hospital 1037,District 41,3958
Hospital 1037,District 42,152
Hospital 1037,District 43,154
Hospital 1037,District 44,15040
Hospital 1037,District 45,84
Hospital 1037,District 46,336
Hospital 1037,District 48,516
Hospital 1037,District 49,1157
Hospital 1037,District 5,372
Hospital 1037,District 53,20963
Hospital 1037,District 6,940
Hospital 1037,District 7,45
Hospital 1037,District 8,1044
Hospital 1037,District 9,175
Hospital 1038,District 39,802
Hospital 1039,District 16,30
Hospital 1039,District 29,27
Hospital 1039,District 40,14
Hospital 1039,District 53,359
Hospital 104,District 12,738
Hospital 104,District 13,1793
Hospital 104,District 16,3
Hospital 104,District 17,8
Hospital 104,District 18,151
Hospital 104,District 19,329
Hospital 104,District 19,329
Hospital 104,District 2,180
Hospital 104,District 20,699
Hospital 104,District 23,3
Hospital 104,District 25,2
Hospital 104,District 28,71
Hospital 104,District 29,32
Hospital 104,District 3,10
Hospital 104,District 30,345
Hospital 104,District 32,11
Hospital 104,District 37,250
Hospital 104,District 4,14
Hospital 104,District 40,11
Hospital 104,District 40,11
Hospital 104,District 41,1006
Hospital 104,District 43,6
Hospital 104,District 44,3750
Hospital 104,District 45,4
Hospital 104,District 45,4
Hospital 104,District 46,61
Hospital 104,District 48,1
Hospital 104,District 53,32770
Hospital 104,District 6,1403
Hospital 104,District 8,4
Hospital 1041,District 53,1
Hospital 1042,District 2,3011
Hospital 1042,District 37,3
Hospital 1042,District 53,2
Hospital 1043,District 1,113
Hospital 1043,District 10,2
Hospital 1043,District 10,2
Hospital 1043,District 12,8468
Hospital 1043,District 13,595
Hospital 1043,District 14,750
Hospital 1043,District 15,14
Hospital 1043,District 16,436
Hospital 1043,District 17,50
Hospital 1043,District 18,39
Hospital 1043,District 19,25
Hospital 1043,District 19,25
Hospital 1043,District 2,8
Hospital 1043,District 20,1102
Hospital 1043,District 23,583
Hospital 1043,District 24,106
Hospital 1043,District 26,41
Hospital 1043,District 28,91
Hospital 1043,District 3,35
Hospital 1043,District 30,74
Hospital 1043,District 31,11
Hospital 1043,District 32,45
Hospital 1043,District 34,1274
Hospital 1043,District 35,3430
Hospital 1043,District 37,112
Hospital 1043,District 38,242
Hospital 1043,District 4,224
Hospital 1043,District 40,54
Hospital 1043,District 40,54
Hospital 1043,District 41,248
Hospital 1043,District 43,36
Hospital 1043,District 44,569
Hospital 1043,District 45,27
Hospital 1043,District 45,27
Hospital 1043,District 48,13
Hospital 1043,District 49,3
Hospital 1043,District 5,484
Hospital 1043,District 53,604
Hospital 1043,District 6,41
Hospital 1043,District 7,24
Hospital 1043,District 8,3286
Hospital 1043,District 9,195
Hospital 1044,District 12,122
Hospital 1044,District 13,46
Hospital 1044,District 16,3
Hospital 1044,District 18,5
Hospital 1044,District 20,35
Hospital 1044,District 23,2
Hospital 1044,District 28,1
Hospital 1044,District 30,2
Hospital 1044,District 34,4
Hospital 1044,District 39,4
Hospital 1044,District 40,2
Hospital 1044,District 40,2
Hospital 1044,District 45,3
Hospital 1044,District 45,3
Hospital 1044,District 48,3
Hospital 1044,District 53,8371
Hospital 1044,District 6,122
Hospital 1045,District 28,1
Hospital 1045,District 29,223
Hospital 1045,District 53,5228
Hospital 1045,District 6,77
Hospital 1046,District 12,4
Hospital 1046,District 13,93
Hospital 1046,District 16,150
Hospital 1046,District 19,6
Hospital 1046,District 19,6
Hospital 1046,District 2,7261
Hospital 1046,District 20,6
Hospital 1046,District 23,1
Hospital 1046,District 28,10
Hospital 1046,District 30,1
Hospital 1046,District 35,2
Hospital 1046,District 37,192
Hospital 1046,District 43,4
Hospital 1046,District 44,3
Hospital 1046,District 5,1
Hospital 1046,District 53,8138
Hospital 1046,District 6,126
Hospital 1047,District 10,131
Hospital 1047,District 12,1771
Hospital 1047,District 13,651
Hospital 1047,District 15,45
Hospital 1047,District 16,3
Hospital 1047,District 19,50
Hospital 1047,District 2,136
Hospital 1047,District 20,219
Hospital 1047,District 28,15
Hospital 1047,District 29,28
Hospital 1047,District 30,994
Hospital 1047,District 34,663
Hospital 1047,District 35,5
Hospital 1047,District 37,8
Hospital 1047,District 4,11
Hospital 1047,District 40,246
Hospital 1047,District 41,18
Hospital 1047,District 43,113
Hospital 1047,District 44,2159
Hospital 1047,District 48,112
Hospital 1047,District 49,516
Hospital 1047,District 5,6
Hospital 1047,District 53,673
Hospital 1047,District 6,183
Hospital 1047,District 8,479
Hospital 1047,District 9,18
Hospital 1048,District 2,41
Hospital 1049,District 12,49
Hospital 1049,District 13,435
Hospital 1049,District 17,17
Hospital 1049,District 20,697
Hospital 1049,District 23,2
Hospital 1049,District 28,2010
Hospital 1049,District 3,142
Hospital 1049,District 32,20
Hospital 1049,District 41,2526
Hospital 1049,District 44,4
Hospital 1049,District 8,2
Hospital 105,District 16,1
Hospital 105,District 18,1262
Hospital 105,District 19,2
Hospital 105,District 19,2
Hospital 105,District 25,8
Hospital 105,District 40,217
Hospital 105,District 40,217
Hospital 105,District 45,642
Hospital 105,District 45,642
Hospital 105,District 53,5051
Hospital 105,District 6,1
Hospital 1050,District 12,38
Hospital 1050,District 13,150
Hospital 1050,District 16,33
Hospital 1050,District 17,210
Hospital 1050,District 17,210
Hospital 1050,District 20,206
Hospital 1050,District 20,659
Hospital 1050,District 25,390
Hospital 1050,District 28,6
Hospital 1050,District 31,4831
Hospital 1050,District 34,38
Hospital 1050,District 35,22
Hospital 1050,District 37,75
Hospital 1050,District 40,461
Hospital 1050,District 41,104
Hospital 1050,District 45,223
Hospital 1050,District 46,5582
Hospital 1050,District 53,2484
Hospital 1050,District 6,3
Hospital 1051,District 12,122
Hospital 1051,District 13,69
Hospital 1051,District 13,34
Hospital 1051,District 16,86
Hospital 1051,District 16,36
Hospital 1051,District 16,102
Hospital 1051,District 17,25
Hospital 1051,District 18,23
Hospital 1051,District 19,1512
Hospital 1051,District 2,43
Hospital 1051,District 20,10
Hospital 1051,District 20,331
Hospital 1051,District 25,9
Hospital 1051,District 28,1
Hospital 1051,District 28,1
Hospital 1051,District 28,1515
Hospital 1051,District 29,2
Hospital 1051,District 3,18
Hospital 1051,District 30,9
Hospital 1051,District 30,19
Hospital 1051,District 35,3
Hospital 1051,District 37,85
Hospital 1051,District 38,19
Hospital 1051,District 4,13
Hospital 1051,District 40,5
Hospital 1051,District 40,5
Hospital 1051,District 40,175
Hospital 1051,District 41,25
Hospital 1051,District 41,223
Hospital 1051,District 43,22
Hospital 1051,District 44,22
Hospital 1051,District 45,5
Hospital 1051,District 45,5
Hospital 1051,District 45,173
Hospital 1051,District 48,69
Hospital 1051,District 53,21722
Hospital 1051,District 6,838
Hospital 1051,District 8,31
Hospital 1051,District 9,14
Hospital 1052,District 12,78
Hospital 1052,District 13,100
Hospital 1052,District 16,59
Hospital 1052,District 17,10
Hospital 1052,District 19,3
Hospital 1052,District 2,29
Hospital 1052,District 20,16
Hospital 1052,District 25,4
Hospital 1052,District 28,57
Hospital 1052,District 30,2
Hospital 1052,District 37,1
Hospital 1052,District 4,5
Hospital 1052,District 40,120
Hospital 1052,District 43,1
Hospital 1052,District 44,23
Hospital 1052,District 45,154
Hospital 1052,District 46,3645
Hospital 1052,District 53,669
Hospital 1052,District 6,82
Hospital 1052,District 8,14
Hospital 1052,District 9,17
Hospital 1053,District 12,86
Hospital 1053,District 13,151
Hospital 1053,District 16,531
Hospital 1053,District 17,11
Hospital 1053,District 18,39
Hospital 1053,District 19,25
Hospital 1053,District 20,104
Hospital 1053,District 28,244
Hospital 1053,District 3,9
Hospital 1053,District 30,8
Hospital 1053,District 31,400
Hospital 1053,District 32,19
Hospital 1053,District 37,142
Hospital 1053,District 41,99
Hospital 1053,District 43,5
Hospital 1053,District 44,21
Hospital 1053,District 45,380
Hospital 1053,District 48,19
Hospital 1053,District 53,741
Hospital 1053,District 6,33
Hospital 1053,District 8,10
Hospital 1054,District 12,69
Hospital 1054,District 13,346
Hospital 1054,District 16,12
Hospital 1054,District 17,32
Hospital 1054,District 18,3
Hospital 1054,District 20,1433
Hospital 1054,District 25,981
Hospital 1054,District 28,124
Hospital 1054,District 3,81
Hospital 1054,District 30,64
Hospital 1054,District 37,6
Hospital 1054,District 4,21
Hospital 1054,District 41,95
Hospital 1054,District 43,54
Hospital 1054,District 53,2417
Hospital 1054,District 6,86
Hospital 1054,District 8,32
Hospital 1055,District 10,600
Hospital 1055,District 12,131
Hospital 1055,District 13,86
Hospital 1055,District 16,100
Hospital 1055,District 17,11
Hospital 1055,District 18,1162
Hospital 1055,District 2,4517
Hospital 1055,District 20,96
Hospital 1055,District 28,558
Hospital 1055,District 29,39
Hospital 1055,District 3,13
Hospital 1055,District 30,6
Hospital 1055,District 31,20
Hospital 1055,District 32,3
Hospital 1055,District 35,1596
Hospital 1055,District 37,2
Hospital 1055,District 39,26
Hospital 1055,District 4,346
Hospital 1055,District 40,113
Hospital 1055,District 41,4260
Hospital 1055,District 43,12
Hospital 1055,District 44,283
Hospital 1055,District 46,2060
Hospital 1055,District 53,6418
Hospital 1055,District 6,182
Hospital 1055,District 8,5
Hospital 1055,District 9,55
Hospital 1056,District 12,106
Hospital 1056,District 13,262
Hospital 1056,District 15,3
Hospital 1056,District 16,6
Hospital 1056,District 17,308
Hospital 1056,District 18,4
Hospital 1056,District 2,18
Hospital 1056,District 20,134
Hospital 1056,District 25,6
Hospital 1056,District 28,45
Hospital 1056,District 29,2
Hospital 1056,District 3,18
Hospital 1056,District 30,32
Hospital 1056,District 32,9
Hospital 1056,District 34,1
Hospital 1056,District 35,2
Hospital 1056,District 37,13
Hospital 1056,District 39,8
Hospital 1056,District 4,23
Hospital 1056,District 40,1
Hospital 1056,District 40,1
Hospital 1056,District 41,24
Hospital 1056,District 43,10
