Hospital_ID,Region_ID,District_ID,Instrument_ID,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12,Year Total
Hospital 1,Region 1,District 2,Instrument 2,0,0,0,0,0,39,51,103,1120,141,246,164,1864
Hospital 1,Region 1,District 20,Instrument 1,2741,1,1922,0,0,0,1859,0,1492,0,811,0,8826
Hospital 1,Region 1,District 20,Instrument 2,37391,9,26350,0,22969,0,25118,0,20164,0,10956,0,142957
Hospital 1,Region 1,District 20,Instrument 3,49795,1168,70758,1132,73703,0,68813,0,61638,0,59034,0,386041
Hospital 1,Region 1,District 20,Instrument 6,273,0,2038,0,863,0,247,0,1313,0,720,0,5454
Hospital 1,Region 1,District 20,Instrument 7,2293,0,2289,0,2275,0,2224,0,2174,0,2174,0,13429
Hospital 1,Region 1,District 20,Instrument 8,0,0,0,0,0,0,5738,0,6212,0,6257,0,18207
Hospital 1,Region 1,District 28,Instrument 1,27,27,29,27,25,27,25,23,22,17,22,0,271
Hospital 1,Region 1,District 28,Instrument 2,1441,1199,1298,1177,1081,1022,970,1022,924,1392,1023,1244,13793
Hospital 1,Region 1,District 28,Instrument 3,60,60,60,60,60,62,57,45,59,45,45,45,658
Hospital 1,Region 1,District 28,Instrument 4,82,81,82,82,69,72,70,71,62,62,68,0,801
Hospital 1,Region 1,District 28,Instrument 5,3,3,3,3,3,3,3,3,-1,0,0,0,23
Hospital 1,Region 1,District 28,Instrument 6,-222,-9,16,-31,-3,-17,-86,-9,-8,19,-26,0,-376
Hospital 1,Region 1,District 3,Instrument 2,84,80,80,102,128,78,98,76,90,202,89,105,1212
Hospital 1,Region 1,District 34,Instrument 2,0,0,-56,19,28,31,33,16,0,0,0,34,105
Hospital 1,Region 1,District 34,Instrument 3,204,204,152,152,152,152,152,152,223,200,228,200,2171
Hospital 1,Region 1,District 34,Instrument 4,48,48,48,48,48,48,48,48,0,0,0,0,384
Hospital 1,Region 1,District 35,Instrument 2,82,60,1635,1253,1176,1254,1683,1177,1177,1177,1177,1177,13028
Hospital 1,Region 1,District 37,Instrument 2,3779,5397,4405,6334,5903,5962,5301,4842,3715,4398,3460,3874,57370
Hospital 1,Region 1,District 37,Instrument 3,146,208,180,263,179,168,159,181,166,166,166,178,2160
Hospital 1,Region 1,District 37,Instrument 4,32,32,32,32,32,32,14,15,15,15,15,15,281
Hospital 1,Region 1,District 39,Instrument 4,0,0,0,0,0,0,7,7,7,7,7,7,42
Hospital 1,Region 1,District 4,Instrument 2,177,267,249,223,240,238,321,251,227,266,260,56,2775
Hospital 1,Region 1,District 41,Instrument 1,57,56,62,38,49,49,49,55,55,52,61,56,639
Hospital 1,Region 1,District 41,Instrument 2,2491,580,2111,2804,2273,2723,2645,2893,1877,2158,3524,4706,30785
Hospital 1,Region 1,District 41,Instrument 3,2029,2029,1960,2405,2774,2367,1858,2727,1947,3148,6155,2139,31538
Hospital 1,Region 1,District 41,Instrument 5,52,65,52,52,52,39,52,33,33,33,33,33,529
Hospital 1,Region 1,District 5,Instrument 2,3422,2577,2576,2351,2292,2161,3368,3517,3441,3575,3373,3239,35892
Hospital 1,Region 1,District 50,Instrument 10,923,893,913,913,884,913,884,913,933,843,933,893,10838
Hospital 1,Region 1,District 50,Instrument 11,2580,2498,2552,2552,4349,2534,2452,656,2590,2339,15664,4318,45084
Hospital 1,Region 1,District 50,Instrument 2,68042,62389,64589,62894,69836,72311,67648,4130,78222,167200,78177,76482,871920
Hospital 1,Region 1,District 50,Instrument 3,56,162,53,55,63,63,77,0,62,62,62,62,777
Hospital 1,Region 1,District 50,Instrument 5,-8005,4446,5282,4390,4053,4886,4243,2891,4014,1921,3650,3988,35759
Hospital 1,Region 1,District 50,Instrument 7,386,374,382,382,370,382,370,1108,390,353,390,374,5261
Hospital 10,Region 5,District 18,Instrument 1,276,270,306,290,289,257,251,253,318,235,201,190,3136
Hospital 10,Region 5,District 18,Instrument 2,2645,2659,3014,2830,2777,2732,2573,2531,2634,2583,2410,2459,31847
Hospital 10,Region 5,District 18,Instrument 3,0,0,0,0,0,0,0,67,854,-51,157,23,1050
Hospital 10,Region 5,District 18,Instrument 4,297,275,261,240,213,182,233,0,0,0,0,0,1701
Hospital 10,Region 5,District 18,Instrument 6,0,0,0,0,0,0,0,32,-13,-127,159,-10,41
Hospital 10,Region 5,District 18,Instrument 7,54,54,55,55,55,54,54,54,54,54,54,54,651
Hospital 10,Region 5,District 52,Instrument 2,0,0,-514967,0,0,0,0,0,0,0,0,0,-514967
Hospital 10,Region 5,District 52,Instrument 7,9055,9055,250784,9455,8517,172627,8644,7035,232934,1869,9021,0,718996
Hospital 100,Region 1,District 13,Instrument 1,11,11,10,15,8,0,0,0,0,0,0,0,55
Hospital 100,Region 1,District 13,Instrument 2,368,378,366,370,350,529,558,619,144,543,799,676,5700
Hospital 100,Region 1,District 13,Instrument 3,18,18,18,18,18,114,1125,74,187,27,471,201,2289
Hospital 100,Region 1,District 13,Instrument 4,212,162,184,190,170,0,0,0,0,0,0,0,918
Hospital 100,Region 1,District 13,Instrument 5,195,195,210,227,212,210,216,204,203,212,202,234,2520
Hospital 100,Region 1,District 32,Instrument 1,0,0,0,0,9,9,6,6,7,7,9,7,60
Hospital 100,Region 1,District 32,Instrument 2,178,131,92,207,116,125,194,163,96,200,80,147,1729
Hospital 100,Region 1,District 32,Instrument 5,3,3,3,3,3,3,3,3,3,5,13,9,54
Hospital 100,Region 1,District 41,Instrument 1,26,21,26,9,19,19,16,17,20,21,24,21,239
Hospital 100,Region 1,District 41,Instrument 2,365,365,333,313,347,239,319,356,250,424,493,311,4115
Hospital 100,Region 1,District 41,Instrument 3,349,349,291,341,372,264,286,307,305,290,319,267,3740
Hospital 100,Region 1,District 50,Instrument 2,383,290,522,346,295,308,430,579,282,295,289,285,4304
Hospital 100,Region 1,District 50,Instrument 3,205,253,15,114,154,7,154,153,153,153,152,151,1664
Hospital 1000,Region 5,District 16,Instrument 2,7,7,7,7,7,7,7,7,7,7,7,7,84
Hospital 1000,Region 5,District 18,Instrument 1,28,35,30,48,27,60,48,35,49,30,36,29,455
Hospital 1000,Region 5,District 18,Instrument 2,309,347,263,453,244,805,534,462,656,471,701,628,5873
Hospital 1000,Region 5,District 18,Instrument 3,0,0,0,0,0,0,0,102,128,52,119,97,498
Hospital 1000,Region 5,District 18,Instrument 4,138,209,190,265,159,214,223,0,0,0,0,0,1398
Hospital 1000,Region 5,District 18,Instrument 6,0,0,0,0,0,0,0,7,-3,-25,50,-3,26
Hospital 1000,Region 5,District 28,Instrument 1,16,15,16,13,17,20,15,17,12,14,19,0,174
Hospital 1000,Region 5,District 28,Instrument 2,1003,618,1585,1010,1099,1283,1125,1053,1036,956,1021,1332,13121
Hospital 1000,Region 5,District 28,Instrument 3,16,16,16,16,16,16,16,16,16,16,16,16,192
Hospital 1000,Region 5,District 28,Instrument 4,198,194,176,211,201,209,187,194,192,199,197,0,2158
Hospital 1000,Region 5,District 28,Instrument 6,1,-30,39,-15,30,44,-14,-33,-30,-7,-19,0,-34
Hospital 1000,Region 5,District 37,Instrument 2,862,999,995,1186,1400,1159,1864,1520,1469,1867,2200,1274,16795
Hospital 1000,Region 5,District 37,Instrument 3,376,694,592,1580,652,289,528,344,730,539,1255,828,8407
Hospital 1000,Region 5,District 37,Instrument 4,536,596,541,642,715,566,697,561,610,602,566,699,7331
Hospital 1000,Region 5,District 39,Instrument 1,0,0,0,0,0,1,12,2,3,5,11,9,43
Hospital 1000,Region 5,District 39,Instrument 2,0,0,0,0,0,15,191,25,42,88,185,147,693
Hospital 1000,Region 5,District 41,Instrument 1,2,2,2,1,1,1,2,1,1,2,2,2,19
Hospital 1000,Region 5,District 41,Instrument 2,183,183,218,130,81,169,276,170,104,94,111,136,1855
Hospital 1000,Region 5,District 41,Instrument 3,86,86,31,31,27,39,87,24,70,46,29,67,623
Hospital 1000,Region 5,District 45,Instrument 2,0,0,0,0,0,0,0,0,1,5,6,4,16
Hospital 1000,Region 5,District 50,Instrument 2,9667,9360,10220,11115,11721,14100,14776,16984,13319,14865,53962,15057,195146
Hospital 1000,Region 5,District 50,Instrument 3,773,924,1086,1252,1012,1198,806,1043,921,844,1173,1476,12508
Hospital 1000,Region 5,District 50,Instrument 5,60,395,410,368,522,512,562,463,561,555,622,660,5690
Hospital 1000,Region 5,No District Available,Instrument 11,2482,2482,2482,2482,2482,-1420,0,0,1083,1083,1083,1103,15342
Hospital 1000,Region 5,No District Available,Instrument 15,0,0,0,0,0,684,0,0,1528,1528,1528,1555,6823
Hospital 1000,Region 5,No District Available,Instrument 6,0,0,0,0,0,27230,0,0,0,0,0,0,27230
Hospital 1000,Region 5,No District Available,Instrument 7,0,0,0,0,0,0,0,11433,0,0,0,0,11433
Hospital 1001,Region 3,District 12,Instrument 2,1047,1347,659,338,1303,1067,973,761,630,821,666,841,10453
Hospital 1001,Region 3,District 12,Instrument 3,22,37,22,22,22,22,21,22,22,22,22,0,256
Hospital 1001,Region 3,District 13,Instrument 1,79,76,81,89,83,0,0,0,0,0,0,0,408
Hospital 1001,Region 3,District 13,Instrument 2,2768,3802,4602,3832,4539,7872,8492,7717,5726,5818,6126,5240,66534
Hospital 1001,Region 3,District 13,Instrument 3,782,1050,604,537,917,1539,2374,2174,848,2542,3140,3982,20489
Hospital 1001,Region 3,District 13,Instrument 4,5788,5829,5563,6581,5309,0,0,0,0,0,0,0,29070
Hospital 1001,Region 3,District 13,Instrument 5,2551,2437,2285,2503,2307,2399,2387,2169,1636,2245,1762,2314,26995
Hospital 1001,Region 3,District 13,Instrument 8,0,0,0,0,0,0,103,89,104,84,89,139,608
Hospital 1001,Region 3,District 20,Instrument 1,0,11,0,13,0,16,0,14,0,13,0,12,79
Hospital 1001,Region 3,District 20,Instrument 2,0,140,0,179,0,217,0,184,0,171,0,165,1056
Hospital 1001,Region 3,District 20,Instrument 3,0,121,0,186,0,127,0,127,0,127,0,127,815
Hospital 1001,Region 3,District 35,Instrument 2,33,19,212,149,159,187,181,151,151,151,151,151,1695
Hospital 1001,Region 3,District 41,Instrument 1,6,6,7,5,5,5,6,5,5,5,4,4,63
Hospital 1001,Region 3,District 41,Instrument 2,344,344,207,379,419,209,245,285,289,212,243,254,3430
Hospital 1001,Region 3,District 41,Instrument 3,126,126,161,129,203,121,107,112,114,112,130,203,1644
Hospital 1001,Region 3,District 41,Instrument 5,119,165,137,113,81,91,109,105,89,128,128,84,1349
Hospital 1001,Region 3,District 41,Instrument 8,0,0,0,68,0,0,0,0,0,0,0,0,68
Hospital 1001,Region 3,District 44,Instrument 2,161,139,108,122,176,177,172,159,167,170,183,163,1897
Hospital 1001,Region 3,District 44,Instrument 3,60,71,69,56,0,0,0,0,0,0,0,0,256
Hospital 1001,Region 3,District 44,Instrument 7,677,701,706,709,708,445,715,687,705,676,708,670,8107
Hospital 1002,Region 5,District 29,Instrument 5,0,0,0,0,0,0,0,38,0,0,0,0,38
Hospital 1002,Region 5,District 39,Instrument 1,0,0,0,0,0,0,0,0,0,190,238,0,428
Hospital 1002,Region 5,District 39,Instrument 2,0,0,0,0,0,0,0,0,0,3144,3937,0,7081
Hospital 1002,Region 5,District 39,Instrument 4,0,0,0,0,0,0,0,0,0,1063,1193,0,2256
Hospital 1002,Region 5,District 39,Instrument 7,0,0,0,0,0,0,0,0,0,0,0,180,180
Hospital 1003,Region 2,District 10,Instrument 1,277,276,264,289,221,269,233,262,243,143,811,321,3609
Hospital 1003,Region 2,District 10,Instrument 2,2806,2967,2620,2915,3495,3055,3098,2996,2838,3653,2910,3214,36567
Hospital 1003,Region 2,District 10,Instrument 3,1185,1402,1099,1918,962,1829,2107,1015,1975,998,1505,2344,18339
Hospital 1003,Region 2,District 10,Instrument 4,175,160,156,152,141,121,128,123,123,124,123,131,1657
Hospital 1003,Region 2,District 10,Instrument 6,641,703,541,594,1251,367,382,562,582,451,368,418,6860
Hospital 1003,Region 2,District 10,Instrument 7,183,182,182,182,180,185,185,185,185,185,185,272,2291
Hospital 1003,Region 2,District 12,Instrument 2,0,0,0,0,0,0,0,0,110,21,41,0,172
Hospital 1003,Region 2,District 12,Instrument 3,0,0,0,0,0,0,0,0,11,11,11,0,33
Hospital 1003,Region 2,District 13,Instrument 2,32,34,30,32,32,39,39,38,52,41,45,45,459
Hospital 1003,Region 2,District 13,Instrument 3,0,0,0,0,0,2,2,2,2,2,2,0,12
Hospital 1003,Region 2,District 13,Instrument 4,7,8,8,8,7,0,0,0,0,0,0,0,38
Hospital 1003,Region 2,District 14,Instrument 2,222,212,634,168,388,311,426,395,0,0,0,0,2756
Hospital 1003,Region 2,District 14,Instrument 5,657,876,672,813,688,0,0,0,0,0,0,0,3706
Hospital 1003,Region 2,District 14,Instrument 7,0,0,0,0,0,677,671,688,1151,1299,1264,782,6532
Hospital 1003,Region 2,District 16,Instrument 2,20,20,20,20,20,20,0,0,0,0,0,0,120
Hospital 1003,Region 2,District 18,Instrument 1,1259,1540,1594,1268,1274,1177,1084,1189,1108,1134,897,979,14503
Hospital 1003,Region 2,District 18,Instrument 2,15747,21092,20962,16163,16114,16505,14713,12427,12894,14005,13995,14726,189343
Hospital 1003,Region 2,District 18,Instrument 3,0,0,0,0,17,10,6,3662,2131,2615,2274,4146,14861
Hospital 1003,Region 2,District 18,Instrument 4,1552,844,656,348,252,205,163,0,0,0,0,0,4020
Hospital 1003,Region 2,District 18,Instrument 6,0,0,0,0,0,0,0,200,-55,-831,1006,-73,247
Hospital 1003,Region 2,District 19,Instrument 1,53,24,28,28,31,0,0,0,0,0,0,0,164
Hospital 1003,Region 2,District 20,Instrument 1,11,287,0,234,0,373,0,351,0,346,3,339,1944
Hospital 1003,Region 2,District 20,Instrument 2,141,3875,0,3157,0,5035,0,4745,0,4667,44,4584,26248
Hospital 1003,Region 2,District 20,Instrument 3,0,2483,0,2175,0,2524,0,1176,0,954,0,868,10180
Hospital 1003,Region 2,District 20,Instrument 6,0,6,0,6,0,-278,0,1127,0,6,0,891,1758
Hospital 1003,Region 2,District 20,Instrument 7,0,79,0,197,0,201,0,201,0,201,1,79,959
Hospital 1003,Region 2,District 21,Instrument 2,1333,2596,2349,1572,2105,2700,830,540,684,414,907,553,16583
Hospital 1003,Region 2,District 21,Instrument 3,0,0,0,0,0,0,753,767,670,652,631,474,3947
Hospital 1003,Region 2,District 21,Instrument 6,0,0,0,0,0,0,81,408,53,852,33,46,1473
Hospital 1003,Region 2,District 27,Instrument 1,57,31,98,18,42,66,63,30,34,22,37,23,521
Hospital 1003,Region 2,District 27,Instrument 2,1338,848,2025,2600,3457,1645,4011,1672,1921,2458,2195,1744,25914
Hospital 1003,Region 2,District 28,Instrument 1,992,739,850,722,840,862,772,766,745,682,805,0,8775
Hospital 1003,Region 2,District 28,Instrument 2,34323,21598,22669,15575,9196,12709,9162,12466,8318,7759,10833,15789,180397
Hospital 1003,Region 2,District 28,Instrument 3,462,236,269,178,156,167,122,276,212,205,212,193,2688
Hospital 1003,Region 2,District 28,Instrument 4,2395,2673,1446,2808,120,2676,1735,708,498,395,336,0,15790
Hospital 1003,Region 2,District 28,Instrument 6,1344,23,339,4413,5364,6907,5386,5308,4597,4625,6866,0,45172
Hospital 1003,Region 2,District 33,Instrument 2,0,2,2,2,3,3,11,3,2,2,0,68,98
Hospital 1003,Region 2,District 33,Instrument 3,0,0,0,0,0,0,1,0,0,0,0,0,1
Hospital 1003,Region 2,District 33,Instrument 7,0,0,0,0,0,0,1310,1310,1310,1310,1204,1216,7660
Hospital 1003,Region 2,District 34,Instrument 1,27,31,31,25,28,27,28,27,27,27,32,30,340
Hospital 1003,Region 2,District 34,Instrument 2,621,361,472,337,375,596,610,692,629,662,601,834,6790
Hospital 1003,Region 2,District 34,Instrument 3,159,152,74,74,74,65,62,63,65,65,58,61,972
Hospital 1003,Region 2,District 34,Instrument 4,236,70,42,43,44,34,31,5,0,0,0,0,505
Hospital 1003,Region 2,District 34,Instrument 5,43,43,-2,1,1,31,32,31,99,86,84,86,535
Hospital 1003,Region 2,District 34,Instrument 7,0,56,78,53,47,156,114,116,56,56,56,56,844
Hospital 1003,Region 2,District 35,Instrument 2,90,123,694,515,595,702,16,441,441,441,441,441,4940
Hospital 1003,Region 2,District 37,Instrument 2,4,4,4,4,4,4,4,4,4,4,4,4,48
Hospital 1003,Region 2,District 37,Instrument 3,4,4,4,4,4,4,4,4,4,4,4,4,48
Hospital 1003,Region 2,District 38,Instrument 2,283,310,310,0,567,267,288,332,267,301,379,306,3610
Hospital 1003,Region 2,District 39,Instrument 1,781,870,899,1041,900,844,836,804,808,797,805,795,10180
Hospital 1003,Region 2,District 39,Instrument 2,12594,14226,14598,17344,14991,14057,13935,13388,13411,13283,13412,13245,168484
Hospital 1003,Region 2,District 39,Instrument 4,2236,2716,2029,1947,1868,1725,1780,1441,3293,1499,1518,982,23034
Hospital 1003,Region 2,District 39,Instrument 7,2749,2598,2765,556,2775,2939,2832,260,3030,2999,3001,3139,29643
Hospital 1003,Region 2,District 4,Instrument 2,3546,3066,3647,3449,3398,3892,3755,4036,3673,3851,3137,3123,42573
Hospital 1003,Region 2,District 41,Instrument 1,45,42,42,37,33,33,38,47,37,41,44,40,479
Hospital 1003,Region 2,District 41,Instrument 2,699,1324,1327,1373,1379,1346,1320,1316,1329,1299,1315,1342,15369
Hospital 1003,Region 2,District 41,Instrument 3,666,666,634,714,790,644,634,668,628,622,690,620,7976
Hospital 1003,Region 2,District 41,Instrument 5,1248,887,784,269,220,582,585,566,572,604,604,689,7610
Hospital 1003,Region 2,District 41,Instrument 8,68,68,68,0,68,36,0,0,0,0,0,0,308
Hospital 1003,Region 2,District 42,Instrument 2,351,536,287,547,246,254,268,264,295,319,273,279,3919
Hospital 1003,Region 2,District 44,Instrument 2,1793,1471,1219,1230,1661,1514,1629,1208,1147,1436,1529,1703,17540
Hospital 1003,Region 2,District 44,Instrument 3,552,541,442,343,0,0,0,0,0,0,0,0,1878
Hospital 1003,Region 2,District 44,Instrument 7,855,809,884,664,-321,288,686,644,685,672,677,684,7227
Hospital 1003,Region 2,District 46,Instrument 2,10,10,29,10,10,0,0,0,0,0,0,0,69
Hospital 1003,Region 2,District 46,Instrument 3,0,0,15,0,0,8,8,8,8,8,8,8,71
Hospital 1003,Region 2,District 47,Instrument 2,2473,2758,2191,2374,2179,2189,2203,2293,2277,2352,2345,2376,28010
Hospital 1003,Region 2,District 47,Instrument 3,0,0,0,0,0,0,0,0,0,0,91,0,91
Hospital 1003,Region 2,District 47,Instrument 7,0,0,0,0,0,0,0,0,0,0,0,83,83
Hospital 1003,Region 2,District 48,Instrument 1,200,138,138,130,250,227,365,278,271,225,177,115,2514
Hospital 1003,Region 2,District 48,Instrument 2,688,838,773,704,770,1854,930,822,897,1255,821,1029,11381
Hospital 1003,Region 2,District 48,Instrument 3,247,143,187,428,524,0,0,0,0,0,0,0,1529
Hospital 1003,Region 2,District 49,Instrument 2,2276,404,590,328,410,353,205,191,212,226,283,289,5767
Hospital 1003,Region 2,District 5,Instrument 2,1258,1061,1061,1108,1156,1020,1239,911,817,1163,846,999,12639
Hospital 1003,Region 2,District 50,Instrument 1,7097,6907,7141,6637,6637,6637,6637,6637,6249,5930,6246,5631,78386
Hospital 1003,Region 2,District 50,Instrument 2,17181,20991,15896,12423,19451,17330,17440,16075,33693,16271,18539,17022,222312
Hospital 1003,Region 2,District 50,Instrument 3,801,769,805,758,742,774,766,759,792,959,1776,1022,10723
Hospital 1003,Region 2,District 50,Instrument 5,1097,681,7802,7447,7112,7888,8864,113,6872,9035,8143,8824,73878
Hospital 1003,Region 2,District 50,Instrument 7,0,0,0,0,0,0,0,8510,0,0,0,0,8510
Hospital 1003,Region 2,District 51,Instrument 2,1523,1338,1211,1454,1194,1081,933,1022,953,881,933,874,13397
Hospital 1003,Region 2,District 51,Instrument 3,0,0,0,0,160,161,148,152,147,140,149,162,1219
Hospital 1003,Region 2,District 51,Instrument 7,206,146,158,179,0,0,0,0,0,0,0,0,689
Hospital 1003,Region 2,District 52,Instrument 2,0,0,11434,0,0,0,0,0,0,0,0,0,11434
Hospital 1003,Region 2,District 52,Instrument 7,0,3420,3388,3306,6515,10570,3062,3078,11472,2801,7047,9345,64004
Hospital 1003,Region 2,District 6,Instrument 2,0,0,0,0,1001,1223,726,1035,1205,1354,1388,651,8583
Hospital 1003,Region 2,District 9,Instrument 2,139256,134446,123388,142908,142908,142908,142908,142908,142908,142908,142908,142908,1683262
Hospital 1004,Region 3,District 17,Instrument 1,11030,12250,11469,11396,12013,12168,11201,11987,11470,10748,12151,4566,132449
Hospital 1004,Region 3,District 17,Instrument 2,56156,58541,57522,59641,1384,56901,46440,60351,60680,58442,59824,56149,632031
Hospital 1004,Region 3,District 17,Instrument 3,171,203,189,183,58123,0,0,0,0,0,0,0,58869
Hospital 1004,Region 3,District 17,Instrument 4,98,67,70,71,55,0,0,0,0,0,0,0,361
Hospital 1004,Region 3,District 17,Instrument 8,339,320,419,373,394,0,0,0,0,0,0,0,1845
Hospital 1004,Region 3,District 18,Instrument 1,14,13,15,16,14,13,13,12,13,13,13,11,160
Hospital 1004,Region 3,District 18,Instrument 2,167,161,174,182,164,166,165,197,217,206,235,234,2268
Hospital 1004,Region 3,District 18,Instrument 3,0,0,0,0,0,0,0,-42,-50,-36,-43,-34,-205
Hospital 1004,Region 3,District 18,Instrument 4,1,1,1,1,1,1,1,0,0,0,0,0,7
Hospital 1004,Region 3,District 18,Instrument 6,0,0,0,0,0,0,0,2,-1,-9,13,-1,4
Hospital 1004,Region 3,District 18,Instrument 7,0,82,50,50,50,50,50,50,103,98,144,156,883
Hospital 1004,Region 3,District 20,Instrument 1,2,0,2,0,0,0,3,0,3,0,2,0,12
Hospital 1004,Region 3,District 20,Instrument 2,23,0,25,0,29,0,40,0,34,0,28,0,179
Hospital 1004,Region 3,District 20,Instrument 3,0,32,5,32,26,32,30,32,21,32,19,32,293
Hospital 1004,Region 3,District 20,Instrument 6,0,0,0,0,0,0,0,0,33,0,0,0,33
Hospital 1004,Region 3,District 3,Instrument 2,2209,929,929,1696,1585,1647,1657,1652,1593,1637,1751,1656,18941
Hospital 1004,Region 3,District 34,Instrument 1,178,176,190,165,186,201,197,218,205,215,253,230,2414
Hospital 1004,Region 3,District 34,Instrument 2,1773,1942,1902,1869,1811,1840,1902,1869,2865,2729,2660,2592,25754
Hospital 1004,Region 3,District 34,Instrument 3,868,879,913,947,962,1009,1086,1051,382,396,443,458,9394
Hospital 1004,Region 3,District 34,Instrument 4,89,172,109,78,93,107,70,55,0,0,0,0,773
Hospital 1004,Region 3,District 34,Instrument 5,4,4,4,4,4,4,4,4,4,4,4,4,48
Hospital 1004,Region 3,District 38,Instrument 2,445,463,463,409,403,413,459,406,368,360,373,397,4959
Hospital 1004,Region 3,District 39,Instrument 1,5,6,3,6,7,5,5,4,9,3,4,4,61
Hospital 1004,Region 3,District 39,Instrument 2,82,93,52,96,113,81,76,67,145,40,69,59,973
Hospital 1004,Region 3,District 7,Instrument 2,26477,29543,29543,27023,26163,25549,23810,23405,23048,22253,23407,23579,303800
Hospital 1005,Region 1,District 6,Instrument 2,0,0,0,0,76,89,91,59,68,84,81,74,622
Hospital 1005,Region 1,District 7,Instrument 2,0,0,0,0,0,0,0,6,6,6,6,0,24
Hospital 1006,Region 3,District 10,Instrument 1,197,196,185,200,161,201,162,199,173,122,545,239,2580
Hospital 1006,Region 3,District 10,Instrument 2,1688,1867,1436,1842,1496,3042,2920,3629,3205,3009,2398,3037,29569
Hospital 1006,Region 3,District 10,Instrument 3,1111,1689,983,1216,232,555,855,1117,1415,977,1198,1293,12641
Hospital 1006,Region 3,District 10,Instrument 4,89,88,82,79,75,77,71,70,59,57,57,53,857
Hospital 1006,Region 3,District 10,Instrument 6,978,1580,873,867,1086,580,445,504,792,608,541,793,9647
Hospital 1006,Region 3,District 10,Instrument 7,10,7,6,6,0,6,6,6,6,6,0,0,59
Hospital 1006,Region 3,District 12,Instrument 2,17072,17144,17966,14263,15542,17000,15478,15488,13297,18985,13981,15693,191909
Hospital 1006,Region 3,District 12,Instrument 3,1980,-4695,1980,2086,13983,8194,-10042,-4255,2046,1996,1993,0,15266
Hospital 1006,Region 3,District 13,Instrument 1,1113,1133,1121,1228,986,0,0,0,0,0,0,0,5581
Hospital 1006,Region 3,District 13,Instrument 2,22495,32560,33659,33137,6938,33775,31123,50202,30338,19413,29746,31291,354677
Hospital 1006,Region 3,District 13,Instrument 3,3004,3053,3050,3019,2945,-1254,1714,795,249,222,1255,988,19040
Hospital 1006,Region 3,District 13,Instrument 5,2636,2781,2701,2696,2643,2670,2663,2684,2553,2607,2561,2586,31781
Hospital 1006,Region 3,District 13,Instrument 8,0,0,0,0,0,0,93,150,74,74,73,74,538
Hospital 1006,Region 3,District 14,Instrument 2,0,0,19,16,16,16,16,16,0,0,0,0,99
Hospital 1006,Region 3,District 14,Instrument 5,45,61,39,40,36,0,0,0,0,0,0,0,221
Hospital 1006,Region 3,District 14,Instrument 7,0,0,0,0,0,45,66,74,65,69,390,27,736
Hospital 1006,Region 3,District 15,Instrument 1,221,218,231,159,231,226,223,218,203,179,201,183,2493
Hospital 1006,Region 3,District 15,Instrument 2,-705,-2600,-674,-3595,6391,5735,5451,-35979,5474,4978,3154,5287,-7083
Hospital 1006,Region 3,District 15,Instrument 3,396,360,353,315,0,0,0,0,0,0,0,0,1424
Hospital 1006,Region 3,District 15,Instrument 5,238,238,238,238,0,0,0,0,0,0,0,0,952
